heure,kind,quality,ouverture,haut,bas,cloture,n_releves,volume,valeur,profondeur_5pct
2026-09-03T21,116,0,39.75,39.75,39.5,39.5,2,0,0,111560
2026-09-03T21,117,0,6.9,6.9,6.9,6.9,1,0,0,
2026-09-03T21,118,0,0.785,0.785,0.785,0.785,1,0,0,
2026-09-03T21,119,0,31.0,31.0,30.75,30.75,2,0,0,10146
2026-09-03T21,120,0,2.5,2.5,2.5,2.5,2,0,0,133866
2026-09-03T21,121,0,140.0,140.0,140.0,140.0,2,0,0,108
2026-09-03T21,122,0,127.0,127.0,126.0,126.0,2,0,0,16654
2026-09-03T21,123,0,292.0,292.0,292.0,292.0,2,0,0,31553
2026-09-03T21,124,0,36.25,36.25,36.0,36.0,2,0,0,71816
2026-09-03T21,125,0,25.25,25.25,25.25,25.25,2,0,0,5189
2026-09-03T21,126,0,56.0,56.0,55.5,55.5,2,0,0,212346
2026-09-03T21,127,0,478.0,478.0,478.0,478.0,2,0,0,16326
2026-09-03T21,128,0,55.0,55.0,55.0,55.0,2,0,0,95944
2026-09-03T21,129,0,2170.0,2170.0,2170.0,2170.0,1,0,0,
2026-09-03T21,130,0,2050.0,2050.0,2050.0,2050.0,1,0,0,
2026-09-03T21,131,0,2400.0,2400.0,2400.0,2400.0,1,0,0,
2026-09-03T21,132,0,2180.0,2180.0,2180.0,2180.0,2,0,0,210
2026-09-03T21,133,0,17.2,17.3,17.2,17.3,2,0,0,29722
2026-09-03T21,134,0,49.5,50.0,49.5,50.0,2,0,0,99897
2026-09-03T21,135,0,17.8,17.8,17.8,17.8,2,0,0,346368
2026-09-03T21,136,0,1.55,1.55,1.52,1.52,2,0,0,71198
2026-09-03T21,137,0,125.0,125.0,124.0,124.0,2,0,0,21820
2026-09-03T21,138,0,1270.0,1270.0,1270.0,1270.0,2,0,0,271
2026-09-03T21,139,0,9.9,10.1,9.9,10.1,2,0,0,630862
2026-09-03T21,140,0,258.0,258.0,258.0,258.0,2,0,0,26044
2026-09-03T21,141,0,36.5,36.5,36.5,36.5,2,0,0,37954
2026-09-03T21,142,0,775.0,775.0,775.0,775.0,1,0,0,
2026-09-03T21,143,0,760.0,760.0,760.0,760.0,1,0,0,
2026-09-03T21,144,0,17.1,17.1,17.1,17.1,1,0,0,
2026-09-03T21,145,0,137.0,137.0,135.0,135.0,2,0,0,673856
2026-09-03T21,146,0,7.0,7.0,6.9,6.9,2,0,0,375019
2026-09-03T21,147,0,39.5,39.5,39.5,39.5,2,0,0,395756
2026-09-03T21,148,0,33.0,33.25,33.0,33.25,2,0,0,68463
2026-09-03T21,149,0,725.0,725.0,725.0,725.0,2,0,0,115
2026-09-03T21,150,0,386.0,386.0,384.0,384.0,2,0,0,459
2026-09-03T21,151,0,232.0,232.0,232.0,232.0,2,0,0,1251
2026-09-03T21,152,0,234.0,234.0,234.0,234.0,2,0,0,227
2026-09-03T21,153,0,69.0,69.0,69.0,69.0,2,0,0,3497
2026-09-03T21,154,0,76.5,76.5,76.5,76.5,2,0,0,3391
2026-09-03T21,155,0,130.0,130.0,130.0,130.0,1,0,0,
2026-09-03T23,1,0,0.257,0.257,0.257,0.257,1,0,0,
2026-09-03T23,2,0,0.37,0.37,0.37,0.37,1,0,0,
2026-09-03T23,3,0,2.35,2.35,2.35,2.35,1,0,0,
2026-09-03T23,4,0,2.4,2.4,2.4,2.4,1,0,0,
2026-09-03T23,5,0,2.75,2.75,2.75,2.75,1,0,0,
2026-09-03T23,6,0,0.63,0.63,0.63,0.63,1,0,0,
