kind,prix,sens,passage
142,800.0,hausse,2026-09-12T17:39:07Z
143,705.0,hausse,2026-09-12T17:39:07Z
144,17.0,hausse,2026-09-12T17:39:07Z
145,130.0,baisse,2026-09-12T17:39:07Z
146,6.5,baisse,2026-09-12T17:39:07Z
147,39.25,baisse,2026-09-12T17:39:07Z
148,34.5,hausse,2026-09-12T17:39:07Z
149,800.0,hausse,2026-09-12T17:39:07Z
150,370.0,baisse,2026-09-12T17:39:07Z
151,228.0,baisse,2026-09-12T17:39:07Z
152,230.0,baisse,2026-09-12T17:39:07Z
153,90.0,baisse,2026-09-12T17:39:07Z
154,85.0,baisse,2026-09-12T17:39:07Z
155,130.0,baisse,2026-09-12T17:39:07Z
